                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8214,                0.77046,                 1.2018,                0.92193,                0.85051,                0.90851,                0.70305,                0.87319,                0.76159,                  1.356,               0.006634,               0.006634,               0.006634
                     36,                0.76524,                0.72139,                 1.1551,                0.94989,                0.90822,                0.94538,                0.70506,                0.91658,                 0.6602,                 1.4181,               0.006535,               0.006535,               0.006535
                     37,                 0.7459,                0.71146,                  1.166,                0.84946,                0.79496,                 0.8496,                0.54917,                 1.3176,                 1.3664,                 1.7895,               0.006436,               0.006436,               0.006436
                     38,                0.80612,                 0.7346,                 1.1861,                0.85797,                0.94888,                0.95176,                0.69936,                0.97397,                0.65318,                 1.3857,               0.006337,               0.006337,               0.006337
                     39,                0.77036,                0.68071,                 1.1532,                0.93677,                0.86709,                0.94954,                 0.6994,                0.96176,                0.71165,                 1.3711,               0.006238,               0.006238,               0.006238
                     40,                0.75825,                0.66715,                 1.1281,                0.95831,                0.87273,                0.95459,                0.73018,                0.93632,                0.67112,                  1.358,               0.006139,               0.006139,               0.006139
                     41,                0.78249,                0.72417,                 1.1645,                0.78689,                0.90103,                0.92149,                0.65603,                 1.0267,                  1.016,                 1.4078,                0.00604,                0.00604,                0.00604
                     42,                0.76253,                0.69734,                 1.1398,                 0.8892,                0.91375,                0.95315,                0.71088,                0.96165,                0.73079,                 1.3419,               0.005941,               0.005941,               0.005941
                     43,                0.73581,                 0.6839,                 1.1172,                0.86211,                0.92432,                0.96331,                0.73102,                0.92868,                0.73992,                 1.3688,               0.005842,               0.005842,               0.005842
                     44,                0.70245,                0.62621,                 1.1308,                0.94416,                0.91487,                0.96109,                0.74917,                0.83127,                0.66288,                 1.2348,               0.005743,               0.005743,               0.005743
                     45,                 0.7258,                0.62021,                 1.1211,                0.91511,                0.93939,                0.95629,                0.76284,                 0.8432,                0.67386,                 1.2517,               0.005644,               0.005644,               0.005644
                     46,                0.75151,                0.62369,                 1.1351,                0.93651,                0.91513,                0.96785,                 0.7598,                0.84554,                0.59954,                 1.2741,               0.005545,               0.005545,               0.005545
                     47,                 0.7102,                0.60207,                 1.1099,                0.96597,                0.91717,                0.95952,                0.77453,                0.78112,                0.55752,                 1.2112,               0.005446,               0.005446,               0.005446
                     48,                0.70502,                0.59333,                 1.1027,                0.95828,                0.92828,                0.97713,                0.79971,                0.74878,                 0.5514,                 1.1916,               0.005347,               0.005347,               0.005347
                     49,                0.69459,                0.57911,                 1.1033,                0.93985,                0.89798,                0.97343,                0.77901,                0.74393,                0.55331,                  1.194,               0.005248,               0.005248,               0.005248
                     50,                0.70939,                0.59479,                 1.1375,                0.91823,                0.93768,                0.97091,                0.77918,                0.78536,                0.53321,                 1.2141,               0.005149,               0.005149,               0.005149
                     51,                0.68754,                0.61915,                 1.0928,                0.93003,                0.97987,                0.98193,                0.78874,                 0.7585,                0.51341,                 1.1748,                0.00505,                0.00505,                0.00505
                     52,                0.71027,                0.61196,                 1.1351,                0.68239,                0.60345,                0.63083,                0.35721,                  1.896,                 1.4485,                 2.5273,               0.004951,               0.004951,               0.004951
                     53,                0.70219,                0.62812,                 1.1242,                 0.9728,                0.60739,                0.77596,                0.52923,                 1.5258,                 1.0988,                 2.0407,               0.004852,               0.004852,               0.004852
                     54,                0.63166,                 0.6259,                 1.0614,                0.93013,                 0.8969,                0.98059,                0.78308,                0.85205,                0.54975,                   1.29,               0.004753,               0.004753,               0.004753
                     55,                0.70217,                0.62727,                 1.0933,                0.61237,                0.67399,                0.70129,                 0.4301,                 1.4815,                 1.2447,                 1.8578,               0.004654,               0.004654,               0.004654
                     56,                0.70979,                0.60103,                 1.1152,                0.91872,                0.94431,                 0.9711,                0.77611,                0.77339,                0.56175,                 1.1596,               0.004555,               0.004555,               0.004555
                     57,                0.67983,                0.61689,                    1.1,                0.85261,                0.58504,                0.66574,                0.44919,                 1.4794,                 1.3202,                 2.0735,               0.004456,               0.004456,               0.004456
                     58,                0.64349,                0.56066,                 1.0827,                  0.933,                0.90606,                 0.9773,                0.80396,                0.68445,                0.49344,                 1.0784,               0.004357,               0.004357,               0.004357
                     59,                 0.6511,                0.58912,                 1.0834,                0.94855,                0.93425,                0.97014,                0.81188,                0.69916,                0.51344,                  1.094,               0.004258,               0.004258,               0.004258
                     60,                0.68037,                0.61512,                 1.0995,                0.94063,                0.90744,                0.97203,                0.78873,                0.69067,                 0.5156,                  1.078,               0.004159,               0.004159,               0.004159
                     61,                0.61724,                0.53984,                 1.0643,                0.93056,                0.92872,                0.96855,                0.78162,                0.67239,                0.53494,                 1.0638,                0.00406,                0.00406,                0.00406
                     62,                0.64163,                0.52465,                 1.0612,                0.96567,                0.94324,                0.98581,                0.82242,                0.62124,                0.45348,                 1.0537,               0.003961,               0.003961,               0.003961
                     63,                0.64366,                0.51013,                  1.075,                0.96431,                0.92828,                0.98413,                0.82299,                0.67821,                0.46787,                 1.1075,               0.003862,               0.003862,               0.003862
                     64,                0.65648,                0.52751,                 1.1058,                0.92248,                0.92224,                0.98419,                  0.809,                0.69583,                0.48873,                 1.1118,               0.003763,               0.003763,               0.003763
                     65,                0.61022,                0.47122,                 1.0635,                0.92458,                 0.9697,                0.98212,                 0.8058,                0.69527,                0.44162,                 1.1028,               0.003664,               0.003664,               0.003664
                     66,                0.57377,                0.51588,                 1.0418,                0.94208,                0.96051,                0.98626,                0.82942,                0.66626,                0.42651,                 1.0905,               0.003565,               0.003565,               0.003565
                     67,                0.61287,                0.52698,                 1.0471,                 0.9316,                0.95446,                0.98118,                0.81393,                0.70409,                0.44469,                 1.1269,               0.003466,               0.003466,               0.003466
                     68,                0.59987,                  0.544,                 1.0589,                 0.9206,                0.95042,                0.97917,                 0.8166,                0.69444,                0.46866,                 1.1346,               0.003367,               0.003367,               0.003367
                     69,                0.59393,                0.47259,                 1.0396,                 0.9162,                0.95465,                0.97788,                0.79984,                0.76435,                0.48264,                 1.1704,               0.003268,               0.003268,               0.003268
                     70,                0.61328,                0.50815,                  1.066,                0.92022,                0.95217,                0.96499,                0.77988,                0.79964,                0.47454,                  1.217,               0.003169,               0.003169,               0.003169
                     71,                0.63179,                0.55077,                 1.1104,                0.95144,                0.95079,                 0.9738,                0.80677,                0.78722,                0.46762,                 1.2042,                0.00307,                0.00307,                0.00307
                     72,                0.53126,                0.46461,                 1.0224,                0.96657,                0.94634,                0.97583,                0.80068,                0.80836,                0.44621,                  1.244,               0.002971,               0.002971,               0.002971
                     73,                0.58042,                0.49797,                 1.0402,                0.95295,                0.95508,                0.98461,                0.77811,                0.82451,                0.43103,                 1.2386,               0.002872,               0.002872,               0.002872
                     74,                0.60652,                 0.5533,                 1.0334,                0.96139,                0.93001,                0.98718,                0.81733,                0.73876,                0.40956,                 1.1515,               0.002773,               0.002773,               0.002773
                     75,                  0.593,                0.49406,                 1.0456,                0.96792,                0.91087,                0.97587,                0.80568,                0.70827,                0.44626,                 1.1544,               0.002674,               0.002674,               0.002674
                     76,                0.59474,                0.48514,                 1.0593,                0.96162,                0.87576,                0.98642,                0.81537,                0.70092,                0.44372,                 1.1423,               0.002575,               0.002575,               0.002575
                     77,                0.60873,                0.50151,                  1.056,                0.97979,                0.87604,                0.98756,                0.81255,                 0.7054,                 0.4512,                 1.1368,               0.002476,               0.002476,               0.002476
                     78,                0.54754,                0.44244,                 1.0293,                 0.9646,                0.93585,                0.98999,                0.82423,                0.70299,                0.43963,                 1.1273,               0.002377,               0.002377,               0.002377
                     79,                0.56552,                0.47971,                 1.0607,                0.95742,                0.92353,                0.97499,                0.82087,                0.74969,                0.49756,                 1.1891,               0.002278,               0.002278,               0.002278
                     80,                0.55902,                 0.4447,                 1.0116,                0.95723,                0.83901,                0.97292,                0.79935,                0.72811,                0.51622,                 1.1314,               0.002179,               0.002179,               0.002179
                     81,                0.55576,                0.46756,                 1.0444,                0.96548,                0.96209,                0.99006,                0.83575,                0.75331,                0.43079,                 1.1378,                0.00208,                0.00208,                0.00208
                     82,                0.56007,                0.44005,                 1.0468,                0.94639,                0.97274,                 0.9861,                0.81725,                0.75567,                0.42149,                 1.1357,               0.001981,               0.001981,               0.001981
                     83,                0.50604,                0.42345,                0.99817,                 0.9527,                0.97183,                0.98427,                0.82523,                 0.7579,                0.44226,                 1.1623,               0.001882,               0.001882,               0.001882
                     84,                0.56372,                0.47283,                 1.0513,                0.95186,                0.97231,                0.97895,                0.81975,                0.74265,                0.41986,                 1.1553,               0.001783,               0.001783,               0.001783
                     85,                0.50574,                0.41186,                 0.9995,                  0.951,                0.97189,                0.98503,                0.82511,                0.73553,                0.41787,                 1.1447,               0.001684,               0.001684,               0.001684
                     86,                0.53312,                0.43655,                 1.0338,                0.94653,                0.97421,                 0.9836,                 0.8189,                0.77129,                0.41881,                 1.1832,               0.001585,               0.001585,               0.001585
                     87,                0.51696,                0.43815,                 1.0168,                0.95011,                0.97376,                0.98718,                   0.82,                0.76964,                0.41289,                 1.1853,               0.001486,               0.001486,               0.001486
                     88,                0.48658,                0.39827,                   1.01,                0.95861,                 0.9697,                0.98575,                0.78221,                0.81158,                0.45085,                 1.2214,               0.001387,               0.001387,               0.001387
                     89,                0.54237,                0.48109,                 1.0412,                 0.9539,                0.97155,                 0.9875,                0.81534,                0.73738,                0.41164,                 1.1405,               0.001288,               0.001288,               0.001288
                     90,                0.42879,                0.32714,                0.97118,                0.95355,                0.97206,                   0.99,                0.80828,                0.69264,                0.40141,                 1.0929,               0.001189,               0.001189,               0.001189
                     91,                0.39983,                 0.3182,                0.97894,                0.95682,                0.95963,                0.98718,                 0.8212,                0.64575,                0.37516,                 1.0356,                0.00109,                0.00109,                0.00109
                     92,                0.37872,                 0.3148,                0.95082,                0.95993,                0.96919,                 0.9875,                 0.8203,                 0.6387,                 0.3629,                 1.0382,               0.000991,               0.000991,               0.000991
                     93,                 0.3775,                 0.2798,                0.97886,                0.96037,                0.97077,                 0.9875,                0.81687,                0.65302,                0.35852,                 1.0551,               0.000892,               0.000892,               0.000892
                     94,                0.38077,                0.28551,                0.95797,                0.95854,                 0.9697,                0.98493,                0.81808,                0.67756,                0.38058,                 1.0793,               0.000793,               0.000793,               0.000793
                     95,                0.38656,                0.28088,                0.96701,                0.95608,                0.97166,                 0.9875,                0.82347,                0.67885,                0.38687,                 1.0981,               0.000694,               0.000694,               0.000694
                     96,                0.38477,                 0.2638,                0.97078,                0.95487,                0.97196,                 0.9875,                0.82009,                0.67947,                0.39391,                 1.0997,               0.000595,               0.000595,               0.000595
                     97,                0.38123,                0.27371,                0.95497,                0.95213,                0.97336,                0.98718,                0.83838,                0.65827,                0.39427,                 1.0758,               0.000496,               0.000496,               0.000496
                     98,                 0.3643,                0.26519,                0.94259,                0.94982,                0.97376,                0.98892,                0.84077,                0.65388,                0.40224,                 1.0664,               0.000397,               0.000397,               0.000397
                     99,                0.37095,                0.27609,                 0.9556,                0.94914,                0.97367,                0.99142,                0.83912,                0.65456,                0.39919,                 1.0717,               0.000298,               0.000298,               0.000298
